"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert"
"Mobilitätsziffer","deutsch",2023,"08 Schwanthalerhöhe",207.1,"3",896,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"08 Schwanthalerhöhe",207.1,"4",1286,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"08 Schwanthalerhöhe",207.1,"5",19533.2,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"09 Neuhausen - Nymphenburg",193.8,"1",2634,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"09 Neuhausen - Nymphenburg",193.8,"2",4218,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"09 Neuhausen - Nymphenburg",193.8,"3",3139,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"09 Neuhausen - Nymphenburg",193.8,"4",4350,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2023,"09 Neuhausen - Nymphenburg",193.8,"5",73999.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"10 Moosach",154.6,"1",1057,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2023,"10 Moosach",154.6,"2",1639,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
