"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt"
"17","Obergiesing - Fasangarten",3832,2019,3829,7661
"18","Untergiesing - Harlaching",4098,2019,3143,7241
"19","Thalkirchen",6588,2019,6220,12808
"20","Hadern",3023,2019,2929,5952
"21","Pasing - Obermenzing",4799,2019,4673,9472
"22","Aubing",2773,2019,3222,5995
"23","Allach - Untermenzing",2170,2019,2415,4585
"24","Feldmoching - Hasenbergl",3746,2019,3460,7206
"25","Laim",4056,2019,3070,7126
"1","Altstadt - Lehel",1761,2020,1495,3256
"2","Ludwigsvorstadt - Isarvorstadt",5277,2020,3732,9009
"3","Maxvorstadt",5590,2020,4052,9642
"4","Schwabing - West",6050,2020,4258,10308
"5","Au - Haidhausen",5133,2020,3466,8599
"6","Sendling",3292,2020,2384,5676
"7","Sendling - Westpark",4040,2020,3064,7104
"8","Schwanthalerhöhe",2296,2020,1637,3933
"9","Neuhausen - Nymphenburg",7794,2020,5700,13494
"10","Moosach",4061,2020,3351,7412
"11","Milbertshofen - Am Hart",6058,2020,4880,10938
"12","Schwabing - Freimann",9337,2020,7896,17233
"13","Bogenhausen",5557,2020,4778,10335
"14","Berg am Laim",2931,2020,2362,5293
"15","Trudering - Riem",3725,2020,4063,7788
"16","Ramersdorf - Perlach",6454,2020,5691,12145
"17","Obergiesing - Fasangarten",4050,2020,3634,7684
"18","Untergiesing - Harlaching",4083,2020,2977,7060
"19","Thalkirchen",6588,2020,5703,12291
"20","Hadern",3032,2020,2731,5763
"21","Pasing - Obermenzing",4827,2020,4361,9188
"22","Aubing",2643,2020,3048,5691
"23","Allach - Untermenzing",1980,2020,2500,4480
"24","Feldmoching - Hasenbergl",3600,2020,3096,6696
"25","Laim",4168,2020,3062,7230
"1","Altstadt - Lehel",2048,2021,1862,3910
"2","Ludwigsvorstadt - Isarvorstadt",5689,2021,4610,10299
"3","Maxvorstadt",6200,2021,4690,10890
"4","Schwabing - West",6630,2021,4964,11594
"5","Au - Haidhausen",5655,2021,4401,10056
"6","Sendling",3458,2021,2804,6262
"7","Sendling - Westpark",4238,2021,3627,7865
"8","Schwanthalerhöhe",2524,2021,1926,4450
"9","Neuhausen - Nymphenburg",8050,2021,6200,14250
"10","Moosach",4510,2021,3519,8029
"11","Milbertshofen - Am Hart",6497,2021,5770,12267
"12","Schwabing - Freimann",12562,2021,10494,23056
"13","Bogenhausen",5880,2021,5726,11606
"14","Berg am Laim",3171,2021,2926,6097
"15","Trudering - Riem",4292,2021,4877,9169
"16","Ramersdorf - Perlach",7168,2021,6757,13925
"17","Obergiesing - Fasangarten",4232,2021,4229,8461
"18","Untergiesing - Harlaching",4029,2021,3501,7530
"19","Thalkirchen",6722,2021,6402,13124
"20","Hadern",3288,2021,2893,6181
"21","Pasing - Obermenzing",5241,2021,4967,10208
"22","Aubing",2702,2021,3080,5782
"23","Allach - Untermenzing",1979,2021,2118,4097
"24","Feldmoching - Hasenbergl",3905,2021,3606,7511
"25","Laim",4744,2021,3718,8462
"1","Altstadt - Lehel",1793,2022,1747,3540
"2","Ludwigsvorstadt - Isarvorstadt",5680,2022,5032,10712
"3","Maxvorstadt",5710,2022,4809,10519
"4","Schwabing - West",6023,2022,4778,10801
"5","Au - Haidhausen",5294,2022,4137,9431
"6","Sendling",3010,2022,2674,5684
"7","Sendling - Westpark",4416,2022,3554,7970
"8","Schwanthalerhöhe",2315,2022,1738,4053
"9","Neuhausen - Nymphenburg",7647,2022,6314,13961
"10","Moosach",4447,2022,3563,8010
"11","Milbertshofen - Am Hart",6249,2022,5784,12033
"12","Schwabing - Freimann",13795,2022,10841,24636
"13","Bogenhausen",5894,2022,6655,12549
"14","Berg am Laim",3264,2022,2944,6208
"15","Trudering - Riem",4456,2022,4949,9405
"16","Ramersdorf - Perlach",6950,2022,6824,13774
"17","Obergiesing - Fasangarten",4073,2022,3800,7873
"18","Untergiesing - Harlaching",3790,2022,3275,7065
"19","Thalkirchen",7069,2022,6839,13908
"20","Hadern",3145,2022,2974,6119
"21","Pasing - Obermenzing",5308,2022,5185,10493
"22","Aubing",3194,2022,3705,6899
"23","Allach - Untermenzing",2011,2022,2258,4269
"24","Feldmoching - Hasenbergl",3659,2022,3529,7188
"25","Laim",4349,2022,3392,7741
"1","Altstadt - Lehel",1715,2023,1829,3544
"2","Ludwigsvorstadt - Isarvorstadt",4861,2023,4897,9758
"3","Maxvorstadt",5290,2023,5126,10416
"4","Schwabing - West",5438,2023,4631,10069
"5","Au - Haidhausen",4730,2023,4148,8878
"6","Sendling",3042,2023,2576,5618
"7","Sendling - Westpark",4052,2023,3570,7622
"8","Schwanthalerhöhe",2194,2023,1863,4057
"9","Neuhausen - Nymphenburg",7035,2023,6412,13447
"10","Moosach",3992,2023,3624,7616
"11","Milbertshofen - Am Hart",5998,2023,6065,12063
"12","Schwabing - Freimann",17273,2023,13402,30675
"13","Bogenhausen",5844,2023,7117,12961
"14","Berg am Laim",2874,2023,2923,5797
"15","Trudering - Riem",4105,2023,5101,9206
"16","Ramersdorf - Perlach",7083,2023,7244,14327
"17","Obergiesing - Fasangarten",3766,2023,3987,7753
"18","Untergiesing - Harlaching",3705,2023,3471,7176
"19","Thalkirchen",6752,2023,6942,13694
"20","Hadern",3021,2023,3193,6214
"21","Pasing - Obermenzing",5306,2023,5082,10388
"22","Aubing",3047,2023,3887,6934
"23","Allach - Untermenzing",2134,2023,2745,4879
"24","Feldmoching - Hasenbergl",3484,2023,4025,7509
"25","Laim",3962,2023,3490,7452
"1","Altstadt - Lehel",1771,2024,1593,3364
"2","Ludwigsvorstadt - Isarvorstadt",4698,2024,3575,8273
"3","Maxvorstadt",5139,2024,3970,9109
"4","Schwabing - West",5281,2024,4093,9374
"5","Au - Haidhausen",4245,2024,3230,7475
"6","Sendling",3010,2024,2130,5140
"7","Sendling - Westpark",4362,2024,3266,7628
"8","Schwanthalerhöhe",2279,2024,1669,3948
"9","Neuhausen - Nymphenburg",6790,2024,5233,12023
"10","Moosach",3725,2024,3134,6859
"11","Milbertshofen - Am Hart",5555,2024,5125,10680
"12","Schwabing - Freimann",12064,2024,7532,19596
"13","Bogenhausen",5636,2024,5681,11317
"14","Berg am Laim",3116,2024,2386,5502
"15","Trudering - Riem",4296,2024,4054,8350
"16","Ramersdorf - Perlach",6643,2024,5702,12345
"17","Obergiesing - Fasangarten",3509,2024,3433,6942
"18","Untergiesing - Harlaching",3405,2024,3049,6454
"19","Thalkirchen",6601,2024,5945,12546
"20","Hadern",2970,2024,2852,5822
"21","Pasing - Obermenzing",5079,2024,4467,9546
"22","Aubing",3308,2024,3392,6700
"23","Allach - Untermenzing",2148,2024,2006,4154
"24","Feldmoching - Hasenbergl",3601,2024,3295,6896
"25","Laim",3911,2024,2959,6870
