"Anfangsbezirk_Nr","Jahr","Anfangsbezirk","Umzugsbezirk","Anzahl"
"13",2005,"13 Bogenhausen","18 Untergiesing - Harlaching",148
"13",2005,"13 Bogenhausen","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",145
"13",2005,"13 Bogenhausen","20 Hadern",47
"13",2005,"13 Bogenhausen","21 Pasing - Obermenzing",90
"13",2005,"13 Bogenhausen","22 Aubing - Lochhausen - Langwied",38
"13",2005,"13 Bogenhausen","23 Allach - Untermenzing",47
"13",2005,"13 Bogenhausen","24 Feldmoching - Hasenbergl",89
"13",2005,"13 Bogenhausen","25 Laim",67
"14",2005,"14 Berg am Laim","01 Altstadt - Lehel",26
"14",2005,"14 Berg am Laim","02 Ludwigsvorstadt - Isarvorstadt",78
"14",2005,"14 Berg am Laim","03 Maxvorstadt",54
"14",2005,"14 Berg am Laim","04 Schwabing - West",66
"14",2005,"14 Berg am Laim","05 Au - Haidhausen",155
"14",2005,"14 Berg am Laim","06 Sendling",68
"14",2005,"14 Berg am Laim","07 Sendling - Westpark",71
"14",2005,"14 Berg am Laim","08 Schwanthalerhöhe",52
"14",2005,"14 Berg am Laim","09 Neuhausen - Nymphenburg",120
"14",2005,"14 Berg am Laim","10 Moosach",56
"14",2005,"14 Berg am Laim","11 Milbertshofen - Am Hart",121
"14",2005,"14 Berg am Laim","12 Schwabing - Freimann",85
"14",2005,"14 Berg am Laim","13 Bogenhausen",188
"14",2005,"14 Berg am Laim","14 Berg am Laim",651
"14",2005,"14 Berg am Laim","15 Trudering - Riem",403
"14",2005,"14 Berg am Laim","16 Ramersdorf - Perlach",469
"14",2005,"14 Berg am Laim","17 Obergiesing - Fasangarten",114
"14",2005,"14 Berg am Laim","18 Untergiesing - Harlaching",97
"14",2005,"14 Berg am Laim","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",79
"14",2005,"14 Berg am Laim","20 Hadern",53
"14",2005,"14 Berg am Laim","21 Pasing - Obermenzing",72
"14",2005,"14 Berg am Laim","22 Aubing - Lochhausen - Langwied",57
"14",2005,"14 Berg am Laim","23 Allach - Untermenzing",17
"14",2005,"14 Berg am Laim","24 Feldmoching - Hasenbergl",65
"14",2005,"14 Berg am Laim","25 Laim",39
"15",2005,"15 Trudering - Riem","01 Altstadt - Lehel",30
"15",2005,"15 Trudering - Riem","02 Ludwigsvorstadt - Isarvorstadt",101
"15",2005,"15 Trudering - Riem","03 Maxvorstadt",52
"15",2005,"15 Trudering - Riem","04 Schwabing - West",57
"15",2005,"15 Trudering - Riem","05 Au - Haidhausen",103
"15",2005,"15 Trudering - Riem","06 Sendling",60
"15",2005,"15 Trudering - Riem","07 Sendling - Westpark",34
"15",2005,"15 Trudering - Riem","08 Schwanthalerhöhe",52
"15",2005,"15 Trudering - Riem","09 Neuhausen - Nymphenburg",71
"15",2005,"15 Trudering - Riem","10 Moosach",33
"15",2005,"15 Trudering - Riem","11 Milbertshofen - Am Hart",107
"15",2005,"15 Trudering - Riem","12 Schwabing - Freimann",124
"15",2005,"15 Trudering - Riem","13 Bogenhausen",181
"15",2005,"15 Trudering - Riem","14 Berg am Laim",218
"15",2005,"15 Trudering - Riem","15 Trudering - Riem",1243
"15",2005,"15 Trudering - Riem","16 Ramersdorf - Perlach",317
"15",2005,"15 Trudering - Riem","17 Obergiesing - Fasangarten",84
"15",2005,"15 Trudering - Riem","18 Untergiesing - Harlaching",84
"15",2005,"15 Trudering - Riem","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",74
"15",2005,"15 Trudering - Riem","20 Hadern",47
"15",2005,"15 Trudering - Riem","21 Pasing - Obermenzing",65
"15",2005,"15 Trudering - Riem","22 Aubing - Lochhausen - Langwied",47
"15",2005,"15 Trudering - Riem","23 Allach - Untermenzing",27
"15",2005,"15 Trudering - Riem","24 Feldmoching - Hasenbergl",28
"15",2005,"15 Trudering - Riem","25 Laim",52
"16",2005,"16 Ramersdorf - Perlach","01 Altstadt - Lehel",47
"16",2005,"16 Ramersdorf - Perlach","02 Ludwigsvorstadt - Isarvorstadt",134
"16",2005,"16 Ramersdorf - Perlach","03 Maxvorstadt",127
"16",2005,"16 Ramersdorf - Perlach","04 Schwabing - West",124
"16",2005,"16 Ramersdorf - Perlach","05 Au - Haidhausen",308
"16",2005,"16 Ramersdorf - Perlach","06 Sendling",141
"16",2005,"16 Ramersdorf - Perlach","07 Sendling - Westpark",149
"16",2005,"16 Ramersdorf - Perlach","08 Schwanthalerhöhe",112
"16",2005,"16 Ramersdorf - Perlach","09 Neuhausen - Nymphenburg",214
"16",2005,"16 Ramersdorf - Perlach","10 Moosach",131
"16",2005,"16 Ramersdorf - Perlach","11 Milbertshofen - Am Hart",273
"16",2005,"16 Ramersdorf - Perlach","12 Schwabing - Freimann",182
"16",2005,"16 Ramersdorf - Perlach","13 Bogenhausen",314
"16",2005,"16 Ramersdorf - Perlach","14 Berg am Laim",408
"16",2005,"16 Ramersdorf - Perlach","15 Trudering - Riem",697
